"name","lifespan_years","acquire_cost","potential_profit"
"Geometry Dash Lite","11.0","$25,000.00","$660,000.00"
"Fruit Ninja Classic","10.0","$25,000.00","$600,000.00"
"Candy Crush Saga","10.0","$25,000.00","$600,000.00"
"Angry Birds Rio","10.0","$25,000.00","$600,000.00"
"Flow Free","10.0","$25,000.00","$600,000.00"
"Traffic Racer","10.0","$25,000.00","$600,000.00"
"Fruit NinjaÂ®","10.0","$25,000.00","$600,000.00"
"Angry Birds Star Wars","10.0","$25,000.00","$600,000.00"
"Sonic Dash","10.0","$25,000.00","$600,000.00"
"Solitaire","10.0","$25,000.00","$600,000.00"
